LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallCond,Exterior1st,ExterQual,Foundation,BsmtExposure,BsmtFinType1,BsmtUnfSF,HeatingQC,1stFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageArea,MoSold,YrSold,SalePrice
4224,Reg,Inside,MeadowV,1Story,7,CemntBd,TA,PConc,No,GLQ,200,TA,1060,1,1,0,3,TA,1,Attchd,Unf,572,6,2007,129900
14230,Reg,Corner,NridgHt,1Story,5,VinylSd,Gd,PConc,No,Unf,1566,Ex,1600,0,2,0,3,Gd,1,Attchd,RFn,890,7,2009,256300
7200,Reg,Corner,NAmes,1Story,7,Wd Sdng,TA,CBlock,Mn,BLQ,180,TA,900,0,1,0,3,Gd,0,Detchd,Unf,576,5,2010,134800
11478,Reg,Inside,NridgHt,1Story,5,VinylSd,Gd,PConc,No,GLQ,486,Ex,1704,1,2,0,3,Gd,1,Attchd,RFn,772,5,2010,306000
16321,IR1,CulDSac,NAmes,1Story,6,MetalSd,TA,CBlock,Gd,BLQ,207,TA,1600,1,1,0,2,TA,2,Attchd,RFn,319,12,2006,207500
6324,IR1,Inside,BrkSide,1Story,6,MetalSd,TA,BrkTil,No,Unf,520,Fa,520,0,1,0,1,Fa,0,Detchd,Unf,240,5,2008,68500
8500,Reg,Inside,IDOTRR,2Story,4,BrkFace,TA,BrkTil,No,Unf,649,TA,649,0,1,0,3,TA,0,Detchd,Unf,250,7,2008,40000
8544,IR1,CulDSac,Sawyer,1Story,6,HdBoard,TA,CBlock,No,Unf,1228,Gd,1228,0,1,1,3,Gd,0,Attchd,Unf,271,6,2008,149350
11049,Reg,Corner,CollgCr,1Story,5,VinylSd,Gd,PConc,Av,Unf,1234,Ex,1234,0,2,0,3,Gd,0,Attchd,RFn,484,1,2008,179900
10552,IR1,Inside,NAmes,1Story,5,BrkFace,TA,CBlock,No,Rec,380,Gd,1700,0,1,1,4,Gd,1,Attchd,RFn,447,4,2010,165500
7313,Reg,Inside,NridgHt,1Story,5,MetalSd,Ex,PConc,No,GLQ,408,Ex,1561,1,2,0,2,Ex,1,Attchd,Fin,556,8,2007,277500
13418,Reg,Inside,NridgHt,2Story,5,VinylSd,Gd,PConc,Av,Unf,1117,Ex,1132,0,3,1,4,Gd,1,BuiltIn,Fin,691,9,2006,309000
10859,Reg,Corner,CollgCr,1Story,5,VinylSd,TA,PConc,No,Unf,1097,Ex,1097,0,1,1,3,TA,0,Attchd,Unf,672,6,2009,145000
8532,Reg,Inside,NAmes,1Story,6,Wd Sdng,TA,CBlock,No,Rec,84,Gd,1297,0,1,0,3,TA,1,Attchd,Fin,498,10,2009,153000
7922,Reg,Inside,NAmes,1Story,7,VinylSd,TA,CBlock,No,GLQ,326,TA,1057,1,1,0,3,Gd,0,Detchd,Unf,246,1,2010,109000
6040,Reg,Inside,Edwards,1Story,5,AsbShng,TA,PConc,No,Unf,0,TA,1152,0,2,0,2,Fa,0,Attchd,Unf,0,6,2008,82000
8658,Reg,Inside,NAmes,1Story,5,Wd Sdng,TA,CBlock,No,Rec,445,Ex,1324,0,2,0,3,TA,1,Attchd,RFn,440,12,2006,160000
16905,Reg,Inside,Timber,1Story,6,VinylSd,TA,CBlock,Gd,BLQ,383,Gd,1328,0,1,1,2,TA,2,Attchd,RFn,308,7,2007,170000
9180,IR1,CulDSac,SawyerW,SFoyer,7,HdBoard,TA,CBlock,Av,ALQ,0,Gd,884,1,1,0,2,Gd,0,Attchd,RFn,504,12,2007,144000
9200,IR1,CulDSac,CollgCr,1Story,6,VinylSd,TA,CBlock,Av,LwQ,167,TA,938,1,1,0,3,TA,0,Detchd,Unf,308,7,2008,130250
7945,Reg,Inside,NAmes,1Story,6,BrkFace,TA,CBlock,No,ALQ,465,Ex,1150,1,1,0,3,TA,0,Attchd,RFn,300,5,2006,141000
12822,IR1,CulDSac,Mitchel,1.5Fin,5,VinylSd,Gd,PConc,No,GLQ,83,Ex,1518,1,1,1,1,Gd,1,Attchd,RFn,670,8,2009,239686
11096,Reg,Inside,Somerst,1Story,5,VinylSd,Gd,PConc,Av,GLQ,1632,Ex,1656,0,2,0,3,Gd,0,Attchd,RFn,826,7,2007,249700
4456,Reg,Inside,OldTown,2Story,5,MetalSd,TA,BrkTil,No,Unf,736,Gd,736,0,2,0,2,TA,0,Attchd,Unf,0,6,2009,113000
7742,Reg,Inside,Sawyer,1Story,7,HdBoard,TA,CBlock,No,BLQ,192,Ex,955,1,1,0,3,TA,0,Attchd,Unf,386,1,2007,127000
13869,IR2,Corner,Gilbert,2Story,6,VinylSd,TA,PConc,Av,GLQ,612,Gd,794,0,2,0,3,TA,0,Attchd,Fin,388,7,2007,177000
6240,Reg,Inside,BrkSide,1.5Fin,6,Wd Sdng,TA,PConc,No,Unf,816,TA,816,0,1,0,3,TA,1,Detchd,Unf,528,9,2006,114500
8472,IR2,Corner,IDOTRR,1Story,5,Wd Sdng,Fa,CBlock,Gd,LwQ,0,TA,816,1,1,0,2,TA,0,CarPort,Unf,516,5,2010,110000
7134,Reg,Inside,NAmes,SLvl,5,MetalSd,TA,CBlock,No,ALQ,0,TA,1360,0,1,0,3,TA,1,Detchd,Unf,572,2,2007,130000
10175,IR1,Inside,NAmes,1Story,5,HdBoard,TA,CBlock,No,BLQ,935,Gd,1425,0,2,0,3,TA,1,Attchd,RFn,576,7,2008,180500
2645,Reg,Inside,Somerst,2Story,5,MetalSd,Gd,PConc,No,GLQ,321,Ex,983,1,2,1,3,Gd,0,Attchd,Fin,480,8,2009,172500
11645,IR1,Corner,CollgCr,2Story,5,VinylSd,Gd,PConc,No,Unf,860,Ex,860,0,2,1,3,Gd,0,Attchd,RFn,565,8,2006,196500
7200,Reg,Inside,CollgCr,1Story,7,HdBoard,TA,CBlock,Av,ALQ,148,Ex,780,0,1,0,2,TA,0,Detchd,Unf,352,1,2008,124900
13072,Reg,Inside,SawyerW,1Story,5,VinylSd,TA,PConc,No,ALQ,217,Ex,1158,1,1,1,3,Gd,0,Detchd,Unf,576,5,2006,158000
7200,Reg,Inside,IDOTRR,2.5Unf,7,MetalSd,TA,BrkTil,No,Unf,530,TA,581,0,1,0,3,Fa,0,Detchd,Unf,288,3,2007,101000
6442,IR1,Inside,NridgHt,1Story,5,VinylSd,Gd,PConc,Mn,GLQ,1346,Ex,1370,0,2,0,2,Gd,1,Attchd,RFn,484,10,2007,202500
10300,IR1,Inside,OldTown,2Story,6,Stucco,TA,BrkTil,No,Unf,576,Gd,902,0,2,0,3,TA,0,Detchd,Unf,480,4,2010,140000
9375,Reg,Inside,CollgCr,2Story,5,VinylSd,TA,PConc,No,GLQ,318,Ex,1057,1,2,1,3,Gd,0,Attchd,RFn,645,2,2009,219500
9591,Reg,Inside,NridgHt,2Story,5,VinylSd,Gd,PConc,Av,Unf,1143,Ex,1143,0,2,1,4,Gd,1,BuiltIn,RFn,852,10,2007,317000
10665,IR1,Inside,CollgCr,1Story,5,VinylSd,Gd,PConc,Av,GLQ,440,Ex,1479,1,2,0,3,Gd,0,Attchd,RFn,558,6,2007,226000
4608,Reg,Corner,OldTown,1Story,6,MetalSd,TA,CBlock,No,Unf,747,TA,747,0,1,0,2,TA,0,Attchd,Unf,220,6,2010,80000
15593,Reg,Corner,ClearCr,1.5Fin,4,BrkFace,Gd,CBlock,No,BLQ,701,TA,1304,0,2,0,3,TA,1,Attchd,Fin,667,7,2006,225000
7599,Reg,Corner,Mitchel,1Story,6,HdBoard,TA,CBlock,No,ALQ,280,TA,845,1,1,0,2,TA,0,Detchd,Unf,360,6,2007,129500
10141,IR1,Corner,Gilbert,2Story,5,VinylSd,TA,PConc,No,Unf,832,Gd,885,0,2,1,3,TA,1,Attchd,Fin,427,12,2009,185000
10200,Reg,Inside,NAmes,1Story,7,Wd Sdng,TA,CBlock,No,ALQ,404,Gd,1086,1,1,0,3,TA,0,Attchd,Unf,490,5,2010,144900
5790,Reg,Corner,OldTown,2Story,6,VinylSd,Gd,CBlock,No,Unf,840,Gd,840,0,2,0,3,TA,0,Detchd,Unf,379,5,2010,107400
1596,Reg,Inside,MeadowV,SLvl,5,CemntBd,TA,CBlock,Gd,GLQ,0,TA,526,1,1,0,2,TA,0,BuiltIn,Unf,297,11,2009,91000
8475,IR1,Inside,NAmes,1Story,7,VinylSd,TA,CBlock,No,ALQ,724,Ex,952,0,1,0,2,TA,0,Detchd,Unf,283,4,2008,135750
8635,Reg,Inside,BrkSide,1.5Fin,5,Wd Sdng,TA,CBlock,No,BLQ,295,TA,1072,1,1,0,2,TA,0,Detchd,Unf,240,1,2008,127000
10440,Reg,Corner,OldTown,2Story,6,Wd Sdng,TA,PConc,No,Unf,440,Gd,682,0,1,1,2,TA,0,Detchd,Unf,440,5,2009,110000
13000,Reg,Corner,NAmes,2Story,6,VinylSd,TA,CBlock,No,Rec,448,TA,1182,0,2,1,4,Gd,1,Attchd,Fin,509,6,2009,193500
4500,Reg,FR2,Mitchel,1Story,5,VinylSd,TA,PConc,No,GLQ,36,Ex,1337,1,2,0,2,TA,0,Attchd,Fin,405,3,2006,153500
10206,Reg,Inside,Somerst,1Story,5,VinylSd,TA,PConc,No,GLQ,1530,Ex,1563,0,2,0,3,Gd,1,Attchd,RFn,758,10,2008,245000
8892,IR1,Inside,NAmes,1Story,5,MetalSd,TA,CBlock,No,Unf,1065,Gd,1065,0,1,1,3,TA,0,Detchd,Unf,461,7,2007,126500
8530,IR1,Inside,Gilbert,SLvl,5,HdBoard,TA,PConc,No,Unf,384,Gd,804,0,2,1,3,TA,1,BuiltIn,Fin,400,5,2009,168500
16059,Reg,Corner,NoRidge,2Story,5,HdBoard,Gd,CBlock,No,Unf,1288,Ex,1301,0,2,1,4,Gd,1,Attchd,Unf,462,4,2006,260000
11911,IR2,Inside,Gilbert,2Story,5,VinylSd,Gd,PConc,Av,Unf,684,Ex,684,0,2,1,3,Gd,1,BuiltIn,Fin,400,3,2009,174000
3951,Reg,Corner,Somerst,2Story,5,VinylSd,Gd,PConc,Av,Unf,612,Ex,612,0,2,1,2,Gd,0,Detchd,RFn,528,6,2009,164500
8070,Reg,Inside,CollgCr,1Story,5,VinylSd,TA,PConc,No,GLQ,402,Ex,990,1,1,0,3,TA,0,Attchd,Unf,0,8,2007,123600
7200,Reg,Inside,NAmes,1Story,5,BrkFace,TA,Slab,No,Unf,0,TA,1040,0,1,0,2,TA,0,Detchd,Unf,420,7,2006,109900
13360,IR1,Inside,Crawfor,1Story,7,Wd Sdng,TA,BrkTil,No,ALQ,163,Ex,964,1,1,0,2,TA,0,Detchd,Unf,432,8,2009,163500
7200,Reg,Corner,OldTown,2.5Unf,6,MetalSd,TA,BrkTil,Mn,Rec,168,Ex,1260,0,2,0,4,TA,1,Detchd,Unf,506,11,2007,133900
9337,IR1,Inside,CollgCr,2Story,5,VinylSd,TA,PConc,No,GLQ,176,Ex,905,1,2,1,3,Gd,0,Attchd,RFn,684,5,2007,204750
10264,IR1,Inside,CollgCr,1Story,5,VinylSd,Gd,PConc,Av,ALQ,426,Ex,1588,0,2,0,3,Gd,0,Attchd,RFn,472,8,2006,214000
10921,Reg,Inside,Edwards,1Story,5,HdBoard,TA,CBlock,No,Rec,440,TA,960,1,1,0,3,TA,0,Attchd,Fin,432,5,2007,94750
10625,Reg,Corner,Edwards,1Story,5,Wd Sdng,TA,BrkTil,No,ALQ,350,Fa,835,0,1,0,2,TA,0,Basment,Unf,366,5,2010,83000
9320,IR1,Inside,NAmes,1Story,5,Plywood,TA,CBlock,No,ALQ,381,Fa,1225,1,1,1,3,TA,0,Attchd,Unf,0,1,2010,128950
10603,IR1,Inside,NWAmes,1Story,7,Plywood,TA,PConc,Mn,ALQ,410,Gd,1610,1,2,0,3,Gd,2,Attchd,RFn,480,2,2010,205000
9206,Reg,Inside,SawyerW,2Story,5,HdBoard,Gd,CBlock,No,Unf,741,TA,977,0,2,1,3,Gd,1,Attchd,Fin,476,6,2010,178000
7018,Reg,Inside,SawyerW,1Story,5,HdBoard,TA,Slab,No,Unf,0,TA,1535,0,2,0,4,TA,0,Attchd,Unf,410,6,2009,118964
10402,IR1,Corner,CollgCr,1Story,5,VinylSd,TA,PConc,No,Unf,1226,Ex,1226,0,2,0,3,Gd,0,Attchd,RFn,740,5,2010,198900
7758,Reg,Corner,IDOTRR,1.5Fin,4,Stucco,TA,PConc,No,LwQ,816,Ex,1226,0,1,1,4,TA,2,Detchd,Unf,240,6,2007,169500
9375,Reg,Inside,Somerst,2Story,5,VinylSd,Gd,PConc,No,Unf,1053,Ex,1053,0,2,1,3,Gd,1,Attchd,RFn,648,8,2008,250000
10800,Reg,Inside,OldTown,1Story,7,VinylSd,TA,BrkTil,No,Unf,641,Gd,1047,0,1,0,2,TA,0,Detchd,Unf,273,8,2007,100000
6000,Reg,Inside,OldTown,1Story,5,VinylSd,TA,CBlock,No,ALQ,516,Ex,789,0,1,0,2,TA,0,Detchd,Unf,250,4,2008,115000
8500,Reg,Corner,IDOTRR,1.5Fin,7,CemntBd,TA,CBlock,No,Unf,793,TA,997,0,2,0,3,Fa,0,Attchd,Unf,0,8,2007,115000
11751,IR1,Inside,NWAmes,1Story,6,Plywood,TA,CBlock,No,BLQ,1139,Ex,1844,0,2,0,3,TA,1,Attchd,RFn,546,1,2010,190000
9525,Reg,Inside,Edwards,1.5Fin,4,Wd Sdng,TA,CBlock,No,Rec,550,Gd,1216,0,2,0,4,TA,0,Attchd,Unf,325,10,2006,136900
7750,IR1,Inside,Gilbert,SLvl,5,VinylSd,TA,PConc,No,GLQ,134,Ex,774,0,2,1,3,TA,1,BuiltIn,Fin,400,4,2010,180000
3230,Reg,Corner,Somerst,2Story,5,MetalSd,TA,PConc,No,GLQ,310,Gd,729,0,2,1,2,TA,1,Detchd,Unf,440,6,2007,176000
11616,Reg,Inside,Sawyer,1Story,5,Wd Sdng,TA,CBlock,No,LwQ,252,TA,1092,0,1,0,3,TA,1,Attchd,Unf,288,9,2009,139000
8536,Reg,Corner,Edwards,1Story,5,VinylSd,TA,PConc,No,Unf,1125,Gd,1125,0,1,1,2,TA,0,Attchd,Unf,430,4,2007,155000
8461,Reg,Inside,CollgCr,2Story,5,VinylSd,Gd,PConc,No,Unf,728,Ex,728,0,2,1,3,Gd,1,Attchd,Fin,390,7,2006,163990
6060,Reg,Inside,IDOTRR,1.5Fin,5,AsbShng,TA,PConc,No,Unf,732,Gd,772,0,1,0,3,TA,0,Detchd,Unf,264,6,2007,100000
9464,Reg,Corner,NAmes,1Story,7,MetalSd,TA,CBlock,No,BLQ,510,Gd,1080,0,1,0,3,TA,0,Attchd,Unf,288,6,2008,136000
7892,Reg,Inside,SawyerW,1Story,5,Plywood,Gd,PConc,No,GLQ,899,Ex,1199,0,2,0,2,Gd,0,Attchd,RFn,530,3,2008,153900
17043,IR1,CulDSac,NWAmes,1Story,5,HdBoard,TA,CBlock,No,Unf,1362,TA,1586,0,2,0,3,TA,1,Attchd,Unf,435,1,2009,181000
4928,IR1,Inside,NPkVill,1Story,5,Plywood,TA,CBlock,No,ALQ,958,TA,958,0,2,0,2,TA,1,Attchd,RFn,440,2,2007,128000
4388,IR1,Inside,OldTown,1.5Unf,7,WdShing,TA,BrkTil,No,LwQ,556,Ex,840,0,1,0,3,TA,1,Attchd,Unf,0,6,2007,87000
7590,Reg,Inside,NAmes,2Story,5,VinylSd,TA,CBlock,No,BLQ,148,TA,660,0,1,1,3,TA,1,Attchd,RFn,453,7,2006,155000
8973,Reg,Inside,NAmes,1Story,7,Plywood,TA,CBlock,No,Rec,413,TA,1053,0,1,1,3,Ex,0,2Types,RFn,750,7,2006,150000
14200,Reg,Corner,NAmes,2Story,6,MetalSd,TA,CBlock,No,Rec,479,Ex,1216,0,2,1,4,Gd,2,Attchd,Fin,487,5,2006,226000
12224,IR1,Corner,Gilbert,2Story,5,VinylSd,Gd,PConc,No,GLQ,297,Ex,1022,1,2,1,3,Gd,1,BuiltIn,RFn,390,7,2009,244000
7388,Reg,Corner,NAmes,1Story,6,MetalSd,TA,CBlock,No,Rec,658,Gd,1327,1,1,0,3,Gd,0,Detchd,Unf,624,7,2007,150750
6853,IR1,Inside,Timber,1Story,5,VinylSd,Gd,PConc,No,GLQ,262,Ex,1296,1,2,0,2,Gd,0,Attchd,Fin,471,6,2009,220000
10335,IR1,Inside,Sawyer,1Story,6,Plywood,TA,CBlock,No,Rec,891,Gd,1721,0,2,1,3,TA,1,Attchd,RFn,440,7,2006,180000
10400,Reg,Inside,NWAmes,1Story,6,Plywood,TA,PConc,No,Unf,1304,Gd,1682,0,2,0,3,TA,1,Attchd,Unf,530,5,2008,174000
10355,IR1,Corner,NAmes,1Story,5,MetalSd,TA,CBlock,No,BLQ,519,TA,1214,0,2,0,3,TA,1,Attchd,RFn,318,7,2007,143000
9066,IR1,Inside,CollgCr,2Story,5,VinylSd,Gd,PConc,Mn,GLQ,336,Ex,1004,0,2,1,3,Gd,2,Attchd,Fin,660,12,2008,230000
15426,IR1,Inside,CollgCr,2Story,5,VinylSd,TA,PConc,No,GLQ,107,Ex,928,1,2,1,3,Gd,0,Attchd,RFn,470,8,2009,231500
10500,Reg,FR2,NAmes,1Story,5,HdBoard,TA,CBlock,No,ALQ,432,TA,864,0,1,0,3,TA,1,Attchd,Unf,0,4,2010,115000
11645,Reg,Inside,CollgCr,1Story,5,VinylSd,Gd,PConc,Av,GLQ,434,Ex,1734,1,2,0,3,Gd,0,Attchd,Fin,660,1,2006,260000
8520,Reg,Corner,NAmes,1.5Fin,4,BrkFace,TA,CBlock,No,Rec,403,Fa,910,0,2,0,4,TA,0,Detchd,Unf,720,6,2010,166000
10335,IR1,Inside,CollgCr,1Story,5,VinylSd,Gd,PConc,Gd,GLQ,811,Ex,1501,1,2,0,3,Gd,0,Attchd,RFn,577,6,2009,204000
2522,Reg,Inside,Edwards,2Story,5,VinylSd,Gd,PConc,No,Unf,970,Ex,970,0,2,0,3,Gd,0,Detchd,Unf,380,4,2006,130000
6120,Reg,Corner,BrkSide,1Story,7,Wd Sdng,TA,BrkTil,No,BLQ,506,TA,875,1,1,0,2,TA,0,Detchd,Unf,180,11,2009,105000
9505,IR1,CulDSac,Gilbert,2Story,5,VinylSd,Gd,PConc,No,Unf,884,Ex,884,0,2,1,3,Gd,1,BuiltIn,Fin,434,5,2010,222500
7500,Reg,Inside,SawyerW,1Story,5,VinylSd,TA,PConc,No,GLQ,400,Ex,1080,1,1,0,3,Gd,0,Attchd,Unf,0,4,2008,141000
6240,Reg,Inside,BrkSide,1.5Fin,4,MetalSd,TA,BrkTil,No,Unf,896,Gd,896,0,1,0,3,TA,0,Detchd,Unf,240,4,2006,115000
10356,Reg,Corner,CollgCr,1Story,6,HdBoard,TA,CBlock,Av,BLQ,253,TA,969,0,1,1,3,TA,0,Attchd,Unf,440,1,2007,122000
14803,IR1,CulDSac,NWAmes,2Story,5,HdBoard,TA,CBlock,No,Rec,409,Gd,1097,0,2,1,4,TA,1,Attchd,RFn,495,6,2006,190000
13500,Reg,Inside,ClearCr,1Story,7,BrkFace,TA,CBlock,Gd,BLQ,93,Gd,1252,1,1,0,1,TA,1,Attchd,RFn,564,3,2008,235000
11340,Reg,Corner,OldTown,1Story,5,Wd Sdng,TA,BrkTil,No,Unf,1200,TA,1200,0,1,0,4,TA,0,Detchd,Unf,312,3,2006,125000
9600,Reg,Corner,Edwards,1.5Fin,5,Wd Sdng,TA,BrkTil,No,Unf,572,Fa,572,0,1,0,2,TA,0,Attchd,Unf,0,4,2008,79000
7200,Reg,Inside,NAmes,1Story,7,Wd Sdng,TA,CBlock,No,Unf,0,TA,1040,0,1,0,2,TA,0,Detchd,Unf,625,6,2006,109500
12003,Reg,Corner,Timber,2Story,5,VinylSd,Gd,PConc,No,Unf,774,Ex,774,0,2,1,4,Ex,1,BuiltIn,Fin,680,5,2010,269500
12552,Reg,Corner,Somerst,2Story,5,VinylSd,Gd,PConc,No,GLQ,769,Ex,991,0,2,1,3,Gd,1,Attchd,RFn,678,5,2010,254900
11120,IR1,CulDSac,Veenker,1Story,6,Plywood,TA,PConc,No,BLQ,572,TA,1232,0,2,0,3,TA,0,Attchd,Unf,516,6,2008,162500
12182,Reg,Corner,NridgHt,1Story,5,VinylSd,Gd,PConc,Mn,BLQ,340,Ex,1541,0,2,0,3,Gd,1,Attchd,RFn,532,5,2010,220000
5500,Reg,Inside,OldTown,1.5Unf,6,MetalSd,TA,CBlock,No,Unf,882,Ex,882,0,1,0,1,TA,0,Attchd,Unf,0,4,2007,103200
5400,Reg,Corner,OldTown,1Story,7,MetalSd,TA,BrkTil,Mn,LwQ,779,Gd,1149,0,2,0,3,Gd,0,Detchd,Unf,216,10,2007,152000
10106,Reg,Inside,Edwards,1.5Fin,7,Wd Sdng,TA,BrkTil,No,ALQ,112,Gd,808,1,2,0,4,TA,0,Attchd,Unf,0,9,2008,127500
8244,IR1,Inside,Gilbert,2Story,5,VinylSd,Gd,PConc,No,Unf,840,Ex,840,0,2,1,3,Gd,1,Attchd,Fin,440,5,2007,183500
12358,IR1,Inside,OldTown,1.5Fin,6,MetalSd,TA,CBlock,No,Rec,360,TA,854,0,1,1,2,TA,0,Detchd,Unf,660,5,2007,128500
5306,IR1,Inside,StoneBr,2Story,7,HdBoard,Gd,PConc,No,GLQ,354,Gd,1064,1,2,0,2,Gd,1,Attchd,RFn,504,6,2006,239000
10197,IR1,Inside,NAmes,1Story,5,WdShing,TA,CBlock,No,ALQ,700,TA,1362,1,1,1,3,TA,1,Attchd,Unf,504,6,2008,163000
12416,IR1,Inside,Timber,1Story,5,VinylSd,TA,CBlock,No,ALQ,0,TA,1651,1,2,0,3,TA,1,Attchd,Fin,616,11,2008,184000
10029,IR1,Corner,ClearCr,2Story,5,Plywood,Gd,PConc,No,GLQ,320,TA,1164,0,2,1,4,TA,1,Attchd,Unf,521,9,2007,211000
13650,Reg,Inside,Sawyer,1.5Fin,5,MetalSd,Gd,CBlock,No,ALQ,554,Ex,1252,1,2,0,4,Gd,1,Attchd,Unf,451,7,2006,172500
8520,Reg,Inside,OldTown,1Story,6,Wd Sdng,Gd,CBlock,No,Unf,968,TA,968,0,1,0,2,TA,0,Detchd,Unf,480,7,2007,100000
2117,Reg,Inside,Somerst,2Story,5,MetalSd,Gd,PConc,No,GLQ,320,Ex,769,0,2,1,3,Gd,1,Detchd,Unf,440,6,2007,177000
7588,Reg,Inside,Crawfor,2Story,6,Stucco,TA,BrkTil,No,LwQ,441,Gd,901,0,1,1,4,TA,1,Detchd,Unf,216,7,2006,200100
9060,Reg,Inside,Edwards,1Story,6,Wd Sdng,TA,PConc,No,Unf,0,Ex,1340,0,1,0,3,TA,1,Attchd,RFn,252,6,2007,120000
11426,Reg,Inside,OldTown,1.5Fin,5,VinylSd,TA,PConc,No,Unf,1362,Ex,1362,0,2,1,3,Gd,0,Detchd,Unf,484,6,2008,200000
9947,IR1,CulDSac,Mitchel,SLvl,5,HdBoard,TA,PConc,Av,GLQ,577,Ex,1217,1,2,0,3,Gd,0,Attchd,Unf,497,6,2009,173000
10410,Reg,Inside,OldTown,1.5Fin,7,HdBoard,TA,CBlock,No,Unf,660,Ex,808,0,2,1,3,TA,0,Detchd,Unf,180,8,2009,135000
7018,Reg,Inside,SawyerW,SFoyer,5,Plywood,TA,CBlock,Av,GLQ,0,TA,1224,2,0,2,2,TA,2,Detchd,Unf,528,6,2009,153337
9017,IR1,Inside,CollgCr,1Story,5,VinylSd,Gd,PConc,Av,GLQ,871,Ex,1431,1,2,0,3,Gd,0,Attchd,Fin,666,9,2009,192000
2522,Reg,Inside,Edwards,2Story,5,VinylSd,Gd,PConc,No,Unf,970,Ex,970,0,2,0,3,Gd,0,Detchd,Unf,380,5,2006,130000
7180,IR1,Inside,CollgCr,1Story,7,HdBoard,TA,CBlock,Av,ALQ,474,TA,864,0,1,0,3,TA,0,Detchd,Unf,352,5,2008,127000
2280,Reg,FR2,NPkVill,2Story,6,Plywood,TA,CBlock,No,ALQ,289,TA,855,0,2,1,3,TA,1,Attchd,Unf,440,7,2009,148500
9416,Reg,Inside,Somerst,1Story,5,CemntBd,Ex,PConc,No,GLQ,600,Ex,1726,1,2,0,3,Ex,1,Attchd,Fin,786,9,2007,311872
